,id,text,Party_Obligate,Party_Beneficiary,Action_Verbs,Action_Clause,Condition,Condition_Verb,has_condition
26,cl3avqeaq14vl074bfdm17fuk,"in the event of the termination of this agreement as provided in section 9.1 , written notice thereof shall be given to the other parties, specifying the provision of this agreement pursuant to which such termination is made, and this agreement shall forthwith become null and void (other than the provisions in section 9.2 and the provisions in article x, all of which shall survive termination of this agreement), and there shall be no liability on the part of any party hereto or their respective directors, managers officers and affiliates, except that nothing shall relieve any party hereto for fraud or a willful breach of any covenant or other agreement contained in this agreement.",[],[],['given'],"['written notice thereof shall be given to the other parties, specifying the provision of this agreement pursuant to which such termination is made, and this agreement shall forthwith become null and void (other than the provisions in section 9.2 and the provisions in article x, all of which shall survive termination of this agreement), and there shall be no liability on the part of any party hereto or their respective directors, managers officers and affiliates, except that nothing shall relieve any party hereto for fraud or a willful breach of any covenant or other agreement contained in this agreement.']","['in the event of the termination of this agreement as provided in section 9.1 ,']",[],true
27,cl3avtk7715ms076idjm2fpvv,"notwithstanding any provisions of this award agreement to the contrary, the rsus shall be subject to such special terms and conditions for the participant’s country of residence (and country of employment, if different), as are set forth in the appendix to this award agreement (the “appendix”). further, if the participant transfers residency and/or employment to another country, any special terms and conditions for such country will apply to the rsus to the extent the company determines, in its sole discretion, that the application of such terms and conditions is necessary or advisable in order to comply with local law or to facilitate the operation and administration of the rsus and the plan (or the company may establish alternative terms and conditions as may be necessary or advisable to accommodate the participant’s transfer). in all circumstances, the appendix shall constitute part of this award agreement.",[],[],"['subject', 'apply']","['the rsus shall be subject to such special terms and conditions for the participant’s country of residence (and country of employment, if different), as are set forth in the appendix to this award agreement (the “appendix”).', 'any special terms and conditions for such country will apply to the rsus to the extent the company determines, in its sole discretion, that the application of such terms and conditions is necessary or advisable in order to comply with local law or to facilitate the operation and administration of the rsus and the plan (or the company may establish alternative terms and conditions as may be necessary or advisable to accommodate the participant’s transfer). in all circumstances, the appendix shall constitute part of this award agreement.']","['notwithstanding any provisions of this award agreement to the contrary,', 'further, if the participant transfers residency and/or employment to another country,']",[],true
28,cl3avubq515k1076v0dwdgise,"unless the administrative agent shall have received notice from the borrower prior to the date on which any payment is due to the administrative agent for the account of the lenders or any l/c issuer hereunder that the borrower will not make such payment, the administrative agent may assume that the borrower has made such payment on such date in accordance herewith and may, in reliance upon such assumption, distribute to the lenders or any l/c issuer, as the case may be, the amount due. in such event, if the borrower has not in fact made such payment, then each of the lenders or any l/c issuer, as the case may be, severally agrees to repay to the administrative agent forthwith on demand the amount so distributed to such lender or any l/c issuer, in immediately available funds with interest thereon, for each day from and including the date such amount is distributed to it to but excluding the date of payment to the administrative agent, at the greater of the federal funds rate and a rate determined by the administrative agent in accordance with banking industry rules on interbank compensation.",['borrower'],['administrative agent'],['assume'],"['the administrative agent may assume that the borrower has made such payment on such date in accordance herewith and may, in reliance upon such assumption, distribute to the lenders or any l/c issuer, as the case may be, the amount due.']","['unless the administrative agent shall have received notice from the borrower prior to the date on which any payment is due to the administrative agent for the account of the lenders or any l/c issuer hereunder that the borrower will not make such payment,']",[],true
29,cl3avvldg15ms076v73837ff0,the invalidity or unenforceability of any particular provision of this agreement shall not affect the other provisions hereof and this agreement shall be construed in all respects as if such invalid or unenforceable provision was omitted.,[],[],['affect'],['the invalidity or unenforceability of any particular provision of this agreement shall not affect the other provisions hereof and this agreement shall be construed in all respects as if such invalid or unenforceable provision was omitted.'],[],[],false
30,cl3avwqob167g074b6j4b55dx,"notwithstanding anything to the contrary contained in any loan document, the interest paid or agreed to be paid under the loan documents shall not exceed the maximum rate of non-usurious interest permitted by applicable law (the “ maximum rate ”). if the administrative agent or any lender shall receive interest in an amount that exceeds the maximum rate, the excess interest shall be applied to the principal of the loans or, if it exceeds such unpaid principal, refunded to the applicable borrower. in determining whether the interest contracted for, charged, or received by the administrative agent or a lender exceeds the maximum rate, such person may, to the extent permitted by applicable law, (i) characterize any payment that is not principal as an expense, fee, or premium rather than interest, (ii) exclude voluntary prepayments and the effects thereof and (iii) amortize, prorate, allocate, and spread in equal or unequal parts the total amount of interest throughout the contemplated term of the senior credit obligations hereunder.",[],[],"['exceed', 'applied']","['the interest paid or agreed to be paid under the loan documents shall not exceed the maximum rate of non-usurious interest permitted by applicable law (the “ maximum rate ”).', 'the excess interest shall be applied to the principal of the loans or, if it exceeds such unpaid principal, refunded to the applicable borrower.']","['notwithstanding anything to the contrary contained in any loan document,', 'if the administrative agent or any lender shall receive interest in an amount that exceeds the maximum rate,']",[],true
31,cl3aw7or100og088ehgpu2wfs,"whenever possible, each provision of this agreement will be interpreted in such manner as to be effective and valid under applicable law, but if any provision of this agreement is held to be invalid, illegal or unenforceable in any respect under any applicable law or rule in any jurisdiction, such invalidity, illegality or unenforceability will not affect any other provision or any other jurisdiction, but this agreement will be reformed, construed and enforced in such jurisdiction to the extent possible in keeping with the intent of the company and executive.",[],[],"['interpreted', 'affect']","['each provision of this agreement will be interpreted in such manner as to be effective and valid under applicable law,', 'such invalidity, illegality or unenforceability will not affect any other provision or any other jurisdiction, but this agreement will be reformed, construed and enforced in such jurisdiction to the extent possible in keeping with the intent of the company and executive.']","['whenever possible,', 'but if any provision of this agreement is held to be invalid, illegal or unenforceable in any respect under any applicable law or rule in any jurisdiction,']",[],true
32,cl3aw7oyj00n507becu2wft74,"notwithstanding any other provision in this agreement, if, at any time after the date hereof and from time to time, any lender shall have determined in good faith that the introduction of or any change in any applicable law, rule or regulation or in the interpretation or administration thereof by any governmental authority charged with the interpretation or administration thereof, or compliance with any guideline or request from any such governmental authority (whether or not having the force of law), has or would have the effect of making it unlawful for such lender to make or to continue to make or maintain libor rate loans, such lender will forthwith so notify the administrative agent and the borrower. upon such notice, (i) each of such lender’s then outstanding libor rate loans shall automatically on the expiration date of the applicable interest period (or, to the extent any such libor rate loan may not lawfully be maintained as a libor rate loan until such expiration date, upon such notice) and to the extent not sooner prepaid, be converted into a base rate loan, (ii) the obligation of such lender to make, to convert base rate loans into, or to continue, libor rate loans shall be suspended (including pursuant to any borrowing for which the administrative agent has received a borrowing notice but for which the borrowing date has not arrived), and (iii) any borrowing notice or conversion/continuation notice given at any time thereafter with respect to libor rate loans shall, as to such lender, be deemed to be a request for a base rate loan, in each case until such lender shall have determined that the circumstances giving rise to such suspension no longer exist and shall have so notified the administrative agent, and the administrative agent shall have so notified the borrower.",['lender'],"['administrative agent', 'borrower']",['notify'],['such lender will forthwith so notify the administrative agent and the borrower.'],"['notwithstanding any other provision in this agreement, if, at any time after the date hereof and from time to time, any lender shall have determined in good faith that the introduction of or any change in any applicable law, rule or regulation or in the interpretation or administration thereof by any governmental authority charged with the interpretation or administration thereof, or compliance with any guideline or request from any such governmental authority (whether or not having the force of law), has or would have the effect of making it unlawful for such lender to make or to continue to make or maintain libor rate loans,']",[],true
33,cl3aw7wmn00pg07bvgd155r0c,"the invalidity or unenforceability of any provision of this agreement shall not affect the other provisions hereof, and this agreement shall be construed in all respects as if such invalid or unenforceable provision were omitted.",[],[],"['affect', 'construed']","['the invalidity or unenforceability of any provision of this agreement shall not affect the other provisions hereof, and this agreement shall be construed in all respects as if such invalid or unenforceable provision were omitted.']",[],[],false
34,cl3aw92zg00r507dx56y42n5s,"provided there exists no default, upon notice to the administrative agent (which shall promptly notify the lenders), the borrower may from time to time, request an increase to the term loan by an amount (for all such requests) not exceeding $25,000,000; provided that (i) any such request for an increase shall be in a minimum amount of $5,000,000. at the time of sending such notice, the borrower (in consultation with the administrative agent) shall specify the time period within which each lender is requested to respond (which shall in no event be less than ten business days from the date of delivery of such notice to the lenders).",['lender'],"['borrower', 'borrower']","['request', 'specify']","['the borrower may from time to time, request an increase to the term loan by an amount (for all such requests) not exceeding $25,000,000; provided that (i)\xa0any such request for an increase shall be in a minimum amount of $5,000,000.', 'the borrower (in consultation with the administrative agent) shall specify the time period within which each lender is requested to respond (which shall in no event be less than ten business days from the date of delivery of such notice to the lenders).']","['provided there exists no default, upon notice to the administrative agent (which shall promptly notify the lenders),', 'at the time of sending such notice,']",[],true
35,cl3aw9grf00pk078w7aqd808j,"if an event of default shall have occurred and be continuing, each lender and each of its affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other obligations at any time owing by such lender or affiliate to or for the credit or the account of the company against any of and all the obligations of the company in its capacity as the borrower, irrespective of whether or not such lender shall have made any demand under this agreement and although such obligations may be unmatured. the rights of each lender under this section are in addition to other rights and remedies (including other rights of setoff) which such lender may have.",[],"['lender', 'affiliates']",['authorized'],"['each lender and each of its affiliates is hereby authorized at any time and from time to time, to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other obligations at any time owing by such lender or affiliate to or for the credit or the account of the company against any of and all the obligations of the company in its capacity as the borrower,']","['if an event of default shall have occurred and be continuing,']",[],true
36,cl3ax9km904lc088ec8hh2bcf,"if indemnitee is entitled under any provision of this agreement to indemnification by the company for some or a portion of the expenses, judgments, fines or penalties actually or reasonably incurred in the investigation, defense, appeal or settlement of any civil or criminal action, suit or proceeding, but not, however, for the total amount thereof, the company shall nevertheless indemnify indemnitee for the portion of such expenses, judgments, fines or penalties to which indemnitee is entitled.",['company'],['indemnitee'],['indemnify'],"['the company shall nevertheless indemnify indemnitee for the portion of such expenses, judgments, fines or penalties to which indemnitee is entitled.']","['if indemnitee is entitled under any provision of this agreement to indemnification by the company for some or a portion of the expenses, judgments, fines or penalties actually or reasonably incurred in the investigation, defense, appeal or settlement of any civil or criminal action, suit or proceeding, but not, however, for the total amount thereof']",[],true
37,cl3ax9kux04nz07dxhe39ei2y,"if a participant’s employment is terminated for cause or as a result of the participant’s disability or death, or if the participant voluntarily terminates his employment other than for good reason, then the company shall pay or provide to the participant the accrued benefits, payable in accordance with section 4(a)(i) of this plan, and the other benefits, and no further amounts shall be payable to the participant under this section 4 after the date of termination.",['company'],['participant'],"['pay', 'provide']","['then the company shall pay or provide to the participant the accrued benefits, payable in accordance with section 4(a)(i) of this plan, and the other benefits, and no further amounts shall be payable to the participant under this section 4 after the date of termination.']","['if a participant’s employment is terminated for cause or as a result of the participant’s disability or death, or if the participant voluntarily terminates his employment other than for good reason']",['terminated'],true
38,cl3ay3dv107th07978n9cc87b,"in the event of the proposed dissolution or liquidation of the company, any offering period then in progress will be shortened by setting a new exercise date, and will terminate immediately prior to the consummation of such proposed dissolution or liquidation, unless provided otherwise by the administrator. the new exercise date will be before the date of the company’s proposed dissolution or liquidation. the administrator will notify each participant in writing or electronically, prior to the new exercise date, that the exercise date for the participant’s option has been changed to the new exercise date and that the participant’s option will be exercised automatically on the new exercise date, unless prior to such date the participant has withdrawn from the offering period as provided in section 10 hereof.",[],[],['terminate'],"['any offering period then in progress will be shortened by setting a new exercise date, and will terminate immediately prior to the consummation of such proposed dissolution or liquidation, unless provided otherwise by the administrator.']",['in the event of the proposed dissolution or liquidation of the company'],[],true
39,cl3aycdrk0asq07bedvkw82u1,"the executive's employment shall terminate automatically upon the executive's death during the employment period. additionally, if the employer determines in good faith that the executive has incurred a disability, it may give the executive written notice of its intention to terminate the executive's employment. in such event, the executive's employment with the employer shall terminate effective on the later of (i) the date in the notice, (ii) the day after receipt of such notice by the executive, or (iii) the date the disability has been considered to occur (the ""disability effective date""), provided that, prior to such date, the executive shall not have returned to full-time performance of the executive's duties.",[],[],['terminate'],"[""the executive's employment shall terminate automatically""]","[""upon the executive's death during the employment period.""]",[],true
40,cl3aycjop09mw07bv54fdbq4y,"if there is any conflict between the terms and conditions of this exhibit “c-5a” and the terms and conditions of this amendment or the lease, the terms of this exhibit “c-5a” shall control.",[],[],['control'],['the terms of this exhibit\xa0“c-5a” shall control'],['if there is any conflict between the terms and conditions of this exhibit\xa0“c-5a” and the terms and conditions of this amendment or the lease'],[],true
41,cl3ayi0lx0blh07be0l8gcelu,"if the indemnification under section 5(a) or 5(b) is unavailable to an indemnified party or insufficient to hold an indemnified party harmless for any losses, then each indemnifying party shall contribute to the amount paid or payable by such indemnified party, in such proportion as is appropriate to reflect the relative fault of the indemnifying party and indemnified party in connection with the actions, statements or omissions that resulted in such losses as well as any other relevant equitable considerations. the relative fault of such indemnifying party and indemnified party shall be determined by reference to, among other things, whether any action in question, including any untrue or alleged untrue statement of a material fact or omission or alleged omission of a material fact, has been taken or made by, or relates to information supplied by, such indemnifying party or indemnified party, and the parties’ relative intent, knowledge, access to information and opportunity to correct or prevent such action, statement or omission. the amount paid or payable by a party as a result of any losses shall be deemed to include, subject to the limitations set forth in this agreement, any reasonable attorneys’ or other fees or expenses incurred by such party in connection with any proceeding to the extent such party would have been indemnified for such fees or expenses if the indemnification provided for in this section was available to such party in accordance with its terms.",['indemnifying party'],[],"['paid', 'payable']","['then each indemnifying party shall contribute to the amount paid or payable by such indemnified party, in such proportion as is appropriate to reflect the relative fault of the indemnifying party and indemnified party in connection with the actions, statements or omissions that resulted in such losses as well as any other relevant equitable considerations.']","['if the indemnification under section 5(a) or 5(b) is unavailable to an indemnified party or insufficient to hold an indemnified party harmless for any losses,']",[],true
42,cl3ayj9sw0ak107bv5olj9fb7,"in the event of a change in control during the performance period, there shall be no automatic vesting of such awards solely upon a change-in-control.  the payment of the shares shall otherwise be governed by the terms of the plan.",[],[],['vesting'],['there shall be no automatic vesting of such awards solely upon a change-in-control'],['in the event of a change in control during the performance period'],[],true
43,cl3ayp7y80c6208a7ea1672oc,"if at any time the revolving credit outstandings exceed the revolving credit commitment, the borrower agrees to repay immediately upon notice from the administrative agent, by payment to the administrative agent for the account of the revolving credit lenders, extensions of credit in an amount equal to such excess with each such repayment applied first , to the principal amount of outstanding revolving credit loans and second , with respect to any letters of credit then outstanding, a payment of cash collateral into a cash collateral account opened by the administrative agent, for the benefit of the revolving credit lenders, in an amount equal to such excess (such cash collateral to be applied in accordance with section  9.02(b) ).",['borrower'],['credit lenders'],['repay'],"['the borrower agrees to repay immediately upon notice from the administrative agent, by payment to the administrative agent for the account of the revolving credit lenders, extensions of credit in an amount equal to such excess with each such repayment applied first , to the principal amount of outstanding revolving credit loans and second , with respect to any letters of credit then outstanding, a payment of cash collateral into a cash collateral account opened by the administrative agent, for the benefit of the revolving credit lenders, in an amount equal to such excess (such cash collateral to be applied in accordance with section \xa09.02(b) ).']",['if at any time the revolving credit outstandings exceed the revolving credit commitment'],[],true
44,cl3ayu65d0css07c0fr461z4e,"to the extent that the borrower for any reason fails to indefeasibly pay any amount required under subsection (a) or (b) above to be paid by it to the administrative agent (or any sub-agent thereof) or any of its related parties, but without relieving the borrower of its obligation to do so, each lender severally agrees to pay to the administrative agent (or any such sub-agent) or such related party, as the case may be, such lender’s commitment percentage (determined as of the time that the applicable unreimbursed expense or indemnity payment is sought) of such unpaid amount (including any such unpaid amount in respect of a claim asserted by such lender), such payment to be made severally among them based on such lenders’ commitment percentage (determined as of the time that the applicable unreimbursed expense or indemnity payment is sought), provided that the unreimbursed expense or indemnified loss, claim, damage, liability or related expense, as the case may be, was incurred by or asserted against the administrative agent (or any such sub-agent) in its capacity as such or against such related party acting for the administrative agent (or any such sub-agent) in connection with such capacity.",['lender'],['administrative agent'],['pay'],"['each lender severally agrees to pay to the administrative agent (or any such sub-agent) or such related party, as the case may be, such lender’s commitment percentage (determined as of the time that the applicable unreimbursed expense or indemnity payment is sought) of such unpaid amount (including any such unpaid amount in respect of a claim asserted by such lender), such payment to be made severally among them based on such lenders’ commitment percentage (determined as of the time that the applicable unreimbursed expense or indemnity payment is sought), provided that the unreimbursed expense or indemnified loss, claim, damage, liability or related expense, as the case may be, was incurred by or asserted against the administrative agent (or any such sub-agent) in its capacity as such or against such related party acting for the administrative agent (or any such sub-agent) in connection with such capacity.']","['to the extent that the borrower for any reason fails to indefeasibly pay any amount required under subsection (a) or (b) above to be paid by it to the administrative agent (or any sub-agent thereof) or any of its related parties, but without relieving the borrower of its obligation to do so']",['pay'],true
45,cl3aze7y20fa707bvg2pv96wa,"unless administrative agent shall have received notice from a borrower prior to the date on which any payment is due to administrative agent for the account of l/c issuer or the applicable lenders hereunder that borrowers will not make such payment, administrative agent may assume that borrowers have made such payment on such date in accordance herewith and may, in reliance upon such assumption, distribute to l/c issuer or the applicable lenders the amount due. in such event, if borrowers have not in fact made such payment, then l/c issuer or each applicable lender, as applicable, severally agrees to repay to administrative agent forthwith on demand the amount so distributed to l/c issuer or such lender, with interest thereon, for each day from and including the date such amount is distributed to it to but excluding the date of payment to administrative agent, at the greater of the federal funds rate and a rate determined by administrative agent in accordance with banking industry rules on interbank compensation.",['borrowers'],"['l/c issuer', 'lenders']",['payment'],"['administrative agent may assume that borrowers have made such payment on such date in accordance herewith and may, in reliance upon such assumption, distribute to l/c issuer or the applicable lenders the amount due']",['unless administrative agent shall have received notice from a borrower prior to the date on which any payment is due to administrative agent for the account of l/c issuer or the applicable lenders hereunder that borrowers will not make such payment'],[],true
46,cl3aze8450gs907befmotdfss,"if a participant’s employment terminates as a result of retirement after a change in control, the participant shall be paid the accrued obligations in a lump sum in cash in accordance with section 6.1 of the plan and the participant shall be entitled to any other benefits in accordance with their terms. the treatment of prior equity awards shall be governed by the terms of the long-term incentive plan and the related award agreements.",['participant'],['participant'],['paid'],['the participant shall be paid the accrued obligations in a lump sum in cash in accordance with section 6.1 of the plan and the participant shall be entitled to any other benefits in accordance with their terms.'],['if a participant’s employment terminates as a result of retirement after a change in control'],['terminates'],true
47,cl3b099de0kjn07be5fl28fu1,"any strike, lockout, labor dispute, embargo, condemnation, act of god or public enemy, or other casualty which causes, for more than thirty (30) consecutive days beyond the coverage period of any applicable business interruption insurance, the cessation or substantial curtailment of revenue producing activities of the borrower, any other loan party, or any other subsidiary taken as a whole and only if any such event or circumstance could reasonably be expected to have a material adverse effect.",[],[],[],"['the cessation or substantial curtailment of revenue producing activities of the borrower, any other loan party, or any other subsidiary taken as a whole and only if any such event or circumstance could reasonably be expected to have a material adverse effect.']","['any strike, lockout, labor dispute, embargo, condemnation, act of god or public enemy, or other casualty which causes, for more than thirty (30)\xa0consecutive days beyond the coverage period of any applicable business interruption insurance']",[],true
48,cl3b09aeo0jko078mh5uvbbxi,"in the event of any litigation between the parties respecting or arising out of this agreement, the prevailing party shall be entitled to recover reasonable legal fees and costs, whether or not the litigation proceeds to final judgment or determination.",[],[],['recover'],"['the prevailing party shall be entitled to recover reasonable legal fees and costs, whether or not the litigation proceeds to final judgment or determination.']",['in the event of any litigation between the parties respecting or arising out of this agreement'],[],true
49,cl3b0d4ig0j0v0797hcqr38cl,"upon written request by the disclosing party, all of the disclosing party’s confidential information in whatever form shall be returned to the disclosing party upon termination of this agreement or destroyed with destruction certified by the receiving party, without the receiving party retaining copies thereof except that one copy of all such confidential information may be retained by a party’s legal department solely to the extent that such party is required to keep a copy of such confidential information pursuant to applicable law, and the receiving party shall be entitled to retain any confidential information in the electronic form or stored on automatic computer back-up archiving systems during the period such backup or archived materials are retained under such party’s customary procedures and policies; provided, however, that any confidential information retained by the receiving party shall be maintained subject to confidentiality pursuant to the terms of this section  33 , and such archived or back-up confidential information shall not be accessed except as required by applicable law.",[],[],"['returned', 'destroyed']","['all of the disclosing party’s confidential information in whatever form shall be returned to the disclosing party upon termination of this agreement or destroyed with destruction certified by the receiving party, without the receiving party retaining copies thereof except that one copy of all such confidential information may be retained by a party’s legal department solely to the extent that such party is required to keep a copy of such confidential information pursuant to applicable law, and the receiving party shall be entitled to retain any confidential information in the electronic form or stored on automatic computer back-up archiving systems during the period such backup or archived materials are retained under such party’s customary procedures and policies; provided, however, that any confidential information retained by the receiving party shall be maintained subject to confidentiality pursuant to the terms of this section \xa033 , and such archived or back-up confidential information shall not be accessed except as required by applicable law.']","['upon written request by the disclosing party,']",[],true
50,cl3b0eb3o0j5d0797gn2bfcr3,"if the participant is a resident outside of the united states, the participant acknowledges and agrees by acceptance of the grant of rsus under the plan and this agreement, that it is the participant’s express intent that this agreement, the plan and all other documents, notices and legal proceedings entered into, given or instituted pursuant to the award, be drawn up in english. if the participant has received this agreement, the plan or any other documents related to the rsus translated into a language other than english, and if the meaning of the translated version is different than the english version, the english version will control.",['participant'],[],"['agrees', 'acknowledges']","['the participant acknowledges and agrees by acceptance of the grant of rsus under the plan and this agreement, that it is the participant’s express intent that this agreement, the plan and all other documents, notices and legal proceedings entered into, given or instituted pursuant to the award, be drawn up in english.']","['if the participant is a resident outside of the united states,']",[],true
51,cl3b0ecrd0l0107be5lvx0n4b,"if any lender or the l/c issuer determines that any change in law affecting such lender or the l/c issuer or any lending office of such lender or such lender’s or the l/c issuer’s holding company, if any, regarding capital or liquidity requirements has or would have the effect of reducing the rate of return on such lender’s or the l/c issuer’s capital or on the capital of such lender’s or the l/c issuer’s holding company, if any, as a consequence of this agreement, the commitments of such lender or the loans made by, or participations in letters of credit or swing line loans held by, such lender, or the letters of credit issued by the l/c issuer, to a level below that which such lender or the l/c issuer or such lender’s or the l/c issuer’s holding company could have achieved but for such change in law (taking into consideration such lender’s or the l/c issuer’s policies and the policies of such lender’s or the l/c issuer’s holding company with respect to capital adequacy), then from time to time the borrower will pay to such lender or the l/c issuer, as the case may be, such additional amount or amounts as will compensate such lender or the l/c issuer or such lender’s or the l/c issuer’s holding company for any such reduction suffered.","['lender', 'borrower']",['lender'],['pay'],"['then from time to time the borrower will pay to such lender or the l/c issuer, as the case may be, such additional amount or amounts as will compensate such lender or the l/c issuer or such lender’s or the l/c issuer’s holding company for any such reduction suffered.']","['if any lender or the l/c issuer determines that any change in law affecting such lender or the l/c issuer or any lending office of such lender or such lender’s or the l/c issuer’s holding company, if any, regarding capital or liquidity requirements has or would have the effect of reducing the rate of return on such lender’s or the l/c issuer’s capital or on the capital of such lender’s or the l/c issuer’s holding company, if any, as a consequence of this agreement, the commitments of such lender or the loans made by, or participations in letters of credit or swing line loans held by, such lender, or the letters of credit issued by the l/c issuer, to a level below that which such lender or the l/c issuer or such lender’s or the l/c issuer’s holding company could have achieved but for such change in law (taking into consideration such lender’s or the l/c issuer’s policies and the policies of such lender’s or the l/c issuer’s holding company with respect to capital adequacy),']",[],true
52,cl3b0fbfy0k9308a775ft7e1e,"the company hereby agrees that upon demand by any lender (which demand shall be accompanied by a statement setting forth the basis for the amount being claimed, a copy of which shall be furnished to the administrative agent), the company will indemnify such lender against any net loss or expense which such lender may sustain or incur (including any net loss or expense incurred by reason of the liquidation or reemployment of deposits or other funds acquired by such lender to fund or maintain any eurocurrency loan or cdor loan), as reasonably determined by such lender, as a result of (a) any payment, prepayment or conversion of any eurocurrency loan or cdor loan of such lender on a date other than the last day of an interest period for such loan (including any conversion pursuant to section 8.3 ) or (b) any failure of the company to borrow, convert or continue any loan on a date specified therefor in a notice of borrowing, conversion or continuation pursuant to this agreement. for this purpose, all notices to the administrative agent pursuant to this agreement shall be deemed to be irrevocable.",['company'],['lender'],"['indemnify', 'agrees']","['the company hereby agrees that upon demand by any lender (which demand shall be accompanied by a statement setting forth the basis for the amount being claimed, a copy of which shall be furnished to the administrative agent), the company will indemnify such lender against any net loss or expense which such lender may sustain or incur (including any net loss or expense incurred by reason of the liquidation or reemployment of deposits or other funds acquired by such lender to fund or maintain any eurocurrency loan or cdor loan), as reasonably determined by such lender, as a result of (a) any payment, prepayment or conversion of any eurocurrency loan or cdor loan of such lender on a date other than the last day of an interest period for such loan (including any conversion pursuant to section 8.3 ) or (b) any failure of the company to borrow, convert or continue any loan on a date specified therefor in a notice of borrowing, conversion or continuation pursuant to this agreement.']","['upon demand by any lender (which demand shall be accompanied by a statement setting forth the basis for the amount being claimed, a copy of which shall be furnished to the administrative agent),']",[],true
53,cl3b0gqp40k4c07bv50rv4bv5,[for us employees only:] you agree that the restricted period shall be tolled and suspended during and for the pendency of any violation of its terms and for the pendency of any legal proceedings to enforce any of the covenants set forth in this section 10 and that all time that is part of or subject to such tolling and suspension shall not be counted toward the 12-month duration of the restricted period.,[],[],['agree'],['you agree that the restricted period shall be tolled and suspended during and for the pendency of any violation of its terms and for the pendency of any legal proceedings to enforce any of the covenants set forth in this section 10 and that all time that is part of or subject to such tolling and suspension shall not be counted toward the 12-month duration of the restricted period.'],[],[],false
54,cl3b0h92m0kab078mfscc590x,any distribution made pursuant to this section 6.7 shall be subject to a forfeiture equal to 10% of the amount elected.,[],[],"['made', 'elected']",['any distribution made pursuant to this section 6.7 shall be subject to a forfeiture equal to 10% of the amount elected.'],[],[],false
55,cl3b0j4o60krd088ecwqd28xk,"if an event of default shall have occurred and be continuing, subject to section 4.03, each lender is hereby authorized at any time and from time to time, to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other indebtedness at any time owing by such lender to or for the credit or the account of holdings, the borrower or any subsidiary against any of and all the obligations of holdings or the borrower now or hereafter existing under this agreement or any other loan document held by such lender, irrespective of whether or not such lender shall have made any demand under this agreement or such other loan document and although the obligations may be unmatured. the rights of each lender under this section 9.06 are in addition to other rights and remedies (including other rights of set-off) that such lender may have.",[],[],"['set off', 'apply', 'authorized']","['each lender is hereby authorized at any time and from time to time, to the fullest extent permitted by law, to set off and apply any and all deposits (general or special, time or demand, provisional or final) at any time held and other indebtedness at any time owing by such lender to or for the credit or the account of holdings, the borrower or any subsidiary against any of and all the obligations of holdings or the borrower now or hereafter existing under this agreement or any other loan document held by such lender, irrespective of whether or not such lender shall have made any demand under this agreement or such other loan document and although the obligations may be unmatured.']","['if an event of default shall have occurred and be continuing, subject to section 4.03,']",[],true
56,cl3b0j6dx0krp088e26hg04xf,"you may terminate your employment for any reason upon 60 days’ notice to the company. if you voluntarily terminate your employment (other than for good reason), the company will pay to you the accrued obligations within 30 days of such termination of employment.",['company'],['you'],['pay'],['the company will pay to you the accrued obligations within 30 days of such termination of employment.'],"['if you voluntarily terminate your employment (other than for good reason),']",[],true
57,cl3b0nc520lyn07be7pzbeg1t,this agreement will terminate on the earlier of (a) the payment in full of all outstanding notes and the satisfaction and discharge of the indenture and (b) the date the issuer is terminated under the trust agreement.,[],[],['terminate'],['this agreement will terminate on the earlier of (a)\xa0the payment in full of all outstanding notes and the satisfaction and discharge of the indenture and (b)\xa0the date the issuer is terminated under the trust agreement.'],[],[],false
58,cl3b0o0080m1f07dx7kj3g522,"each holder shall furnish in writing to the company such information regarding itself, the registrable securities held by it and the intended method of disposition of the registrable securities held by it, as shall be reasonably requested by the company to effect the registration of such registrable securities and shall execute such documents in connection with such registration as the company may reasonably request.",['holder'],['company'],"['furnish', 'execute']","['each holder shall furnish in writing to the company such information regarding itself, the registrable securities held by it and the intended method of disposition of the registrable securities held by it, as shall be reasonably requested by the company to effect the registration of such registrable securities and shall execute such documents in connection with such registration as the company may reasonably request.']",[],[],false
59,cl3b0psbr0kzy07bvfqy92fmd,"in the event of a change of control, any outstanding restricted shares shall be subject to the provisions set forth in paragraph 19 of the plan, provided, however, an references to “cause” used in paragraph 19 of the plan shall be interpreted by applying the definitions of “cause” set forth in the employment agreement.",[],[],['subject'],"['any outstanding restricted shares shall be subject to the provisions set forth in paragraph 19 of the plan, provided, however, an references to “cause” used in paragraph 19 of the plan shall be interpreted by applying the definitions of “cause” set forth in the employment agreement.']","['in the event of a change of control,']",[],false
